het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,method
MG,[Mg+2],[Mg+2],7.4,0,,pkasolver:no_ionizable
SGM,C([C@H](CS)O)O,OC[C@@H](O)CS,7.4,2,6.08;9.38,pkasolver
ATP,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N,[NH-]c1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)([O-])O[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H]([O-])[C@H]1O,7.4,6,3.01;3.45;3.63;3.77;4.55;5.16,pkasolver
4SP,c1cc(ccc1Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3)S(=O)(=O)N,NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,7.4,6,3.50;4.29;7.20;9.20;9.48;10.22,pkasolver
ADP,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N,[NH-]c1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)([O-])OP(=O)([O-])[O-])[C@@H]([O-])[C@H]1O,7.4,6,2.52;3.04;3.51;3.75;4.90;5.56,pkasolver
ZN,[Zn+2],[Zn+2],7.4,0,,pkasolver:no_ionizable
1RO,c1cc2cc(ccc2nc1)/C=C/3\C(=O)N=C(S3)NCc4cccs4,O=C1N=C(NCc2cccs2)S/C1=C/c1ccc2ncccc2c1,7.4,2,3.52;4.69,pkasolver
2AN,c1ccc(cc1)Nc2cccc3c2c(ccc3)S(=O)(=O)O,O=S(=O)([O-])c1cccc2cccc(Nc3ccccc3)c12,7.4,2,5.68;10.46,pkasolver
STU,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)NC)OC,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,7.4,3,5.00;6.38;8.77,pkasolver
SU9,COc1ccc2c(c1)/C(=C/c3cnc[nH]3)/C(=O)N2,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,7.4,5,4.91;5.69;7.28;10.64;10.92,pkasolver
1QK,CCc1cnn2c1nc(cc2NCc3ccc[n+](c3)O)N4CCCC[C@H]4CCO,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,7.4,7,3.93;4.34;4.42;5.12;5.63;8.12;9.42,pkasolver
7TW,c1ccc2c(c1)c(c[nH]2)CCNc3ccc(cc3C(=O)O)[N+](=O)[O-],O=C([O-])c1cc([N+](=O)[O-])ccc1NCCc1c[n-]c2ccccc12,7.4,5,3.63;4.08;4.97;6.82;8.83,pkasolver
CK2,Cc1c(sc(n1)C)c2ccnc(n2)N,Cc1nc(C)c(-c2ccnc(N)n2)s1,7.4,4,2.78;3.50;3.76;7.73,pkasolver
RRC,CC[C@H](CO)Nc1nc(c2c(n1)n(cn2)C(C)C)NCc3ccccc3,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,7.4,6,4.20;4.47;4.98;6.15;8.72;9.29,pkasolver
1PU,c1ccnc(c1)NC(=O)Nc2cccc3c2[C@H]4CCCN4C3=O,O=C(Nc1ccccn1)Nc1cccc2c1[C@H]1CCCN1C2=O,7.4,6,3.05;3.09;3.73;4.70;10.08;10.59,pkasolver
60K,c1cc(ccc1N/N=C\2/c3cc(ccc3NC2=O)C(=O)O)S(=O)(=O)N,[NH-]S(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(C(=O)[O-])cc32)cc1,7.4,7,3.96;5.40;6.01;6.55;7.12;7.46;8.45,pkasolver
A1A1H,CCS(=O)(=O)c1ccc(c(c1)C)Nc2ncc3c(n2)N(C(=O)C(=C3)Cl)C4CCCC4,CCS(=O)(=O)c1ccc(Nc2ncc3cc(Cl)c(=O)n(C4CCCC4)c3n2)c(C)c1,7.4,3,3.39;5.20;8.54,pkasolver
A1A1I,Cc1cc(ccc1Nc2ncc3c(n2)N(C(=O)C=C3)C4CCCC4)S(=O)(=O)C5CC6(C5)CCN(CC6)CC7CCN(CC7)c8ccc9c(c8F)N(C(=O)N9[C@@H]1CCC(=O)NC1=O)C,Cc1cc(S(=O)(=O)C2CC3(CC[NH+](CC4CCN(c5ccc6c(c5F)n(C)c(=O)n6[C@@H]5CCC(=O)NC5=O)CC4)CC3)C2)ccc1Nc1ncc2ccc(=O)n(C3CCCC3)c2n1,7.4,7,4.79;5.30;6.41;7.13;8.05;8.44;9.17,pkasolver
BYZ,c1c(cn[nH]1)Br,Brc1cn[nH]c1,7.4,3,2.46;3.25;9.87,pkasolver
CK4,Cc1c(sc(n1)C)c2ccnc(n2)Nc3ccc(cc3)C(F)(F)F,Cc1nc(C)c(-c2ccnc(Nc3ccc(C(F)(F)F)cc3)n2)s1,7.4,4,3.16;3.85;4.56;8.41,pkasolver
CK7,Cc1c(sc(n1)N)c2ccnc(n2)Nc3cccc(c3)[N+](=O)[O-],Cc1nc(N)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,7.4,5,3.45;3.69;4.39;7.55;8.37,pkasolver
CK8,Cc1c(sc(n1)C)c2ccnc(n2)Nc3ccc(cc3)N(C)C,Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)s1,7.4,5,3.19;4.02;4.98;6.49;9.40,pkasolver
CMG,c1[nH]c2c(n1)c(nc(n2)N)OCC3CCCCC3,Nc1nc(OCC2CCCCC2)c2nc[nH]c2n1,7.4,5,3.76;4.26;5.60;9.17;9.63,pkasolver
DT5,c1cc(ccc1Nc2cc(nc3n2ncn3)OC4CCCCC4)S(=O)(=O)N,NS(=O)(=O)c1ccc(Nc2cc(OC3CCCCC3)nc3ncnn23)cc1,7.4,5,2.93;3.55;6.84;8.84;9.50,pkasolver
EZV,CN1CCN(CC1)c2cccc3c2[nH]c(n3)c4c5ccc(cc5[nH]n4)c6ccc(cc6)N,C[NH+]1CCN(c2cccc3nc(-c4n[nH]c5cc(-c6ccc(N)cc6)ccc45)[nH]c23)CC1,7.4,9,4.79;5.72;6.06;6.47;6.67;8.25;9.10;9.99;10.72,pkasolver
F18,c1cc(ccc1/N=N\c2c([nH]nc2N)N)O,Nc1n[nH]c(N)c1/N=N\c1ccc(O)cc1,7.4,6,5.13;6.00;8.52;8.62;8.84;9.56,pkasolver
FB8,Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)S(=O)(=O)C,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,7.4,4,3.68;4.76;5.01;8.44,pkasolver
HEW,c1cnc(cc1Br)N,Nc1cc(Br)ccn1,7.4,3,2.74;4.21;9.41,pkasolver
HGQ,C1=CNC(=O)C=C1Br,O=c1cc(Br)cc[nH]1,7.4,2,3.05;9.15,pkasolver
HGW,c1c(cncn1)I,Ic1cncnc1,7.4,1,2.47,pkasolver
HH8,c1cc2c(ccnc2nc1)Br,Brc1ccnc2ncccc12,7.4,1,2.85,pkasolver
HHN,c1c(cncn1)Br,Brc1cncnc1,7.4,1,2.43,pkasolver
HHQ,C1C(=CC=NC1=O)I,O=C1CC(I)=CC=N1,7.4,0,,pkasolver:no_ionizable
HHT,COc1cc(ccc1CC(=O)O)Br,COc1cc(Br)ccc1CC(=O)[O-],7.4,1,4.44,pkasolver
