family,ligand_id,x,y,z,cluster,kept
PosIonizable,4M48_21B_A704,129.942,125.809,133.364,0,1
PosIonizable,4XNX_41X_A707,130.998,125.457,133.683,0,1
PosIonizable,4XP4_COC_A706,130.908,126.659,135.164,0,1
PosIonizable,4XPF_42F_A703,130.992,127.193,134.518,0,1
PosIonizable,4XPG_42L_A701,130.6,126.932,135.534,0,1
PosIonizable,6M38_29E_A601,129.832,125.274,134.534,0,1
PosIonizable,6M3Z_F0F_A701,129.651,125.297,134.107,0,1
PosIonizable,6M3Z_F0F_A701,130.205,129.567,131.234,0,1
PosIonizable,6M47_F1U_A608,129.763,126.366,135.193,0,1
PosIonizable,8HFI_DSM_A701,129.982,125.516,133.699,0,1
PosIonizable,8HFL_1XR_A701,129.442,126.401,131.063,0,1
PosIonizable,8I3V_68P_A701,129.79,127.822,131.678,0,1
PosIonizable,8WTX_Y60_A701,128.339,127.074,130.264,0,1
PosIonizable,8WTY_XEF_A701,128.53,125.163,132.033,0,1
PosIonizable,8XB2_YNT_A702,129.577,126.913,132.964,0,1
PosIonizable,8Y8Z_A1LX3_E701,129.249,126.946,133.974,0,1
PosIonizable,8Y90_A1LX6_A701,128.822,126.833,134.18,0,1
PosIonizable,8Y91_A1LX5_D703,129.706,127.575,134.109,0,1
PosIonizable,8Y93_TP0_A701,129.437,126.047,133.675,0,1
PosIonizable,8YR2_41U_B701,130.014,125.656,133.876,0,1
PosIonizable,8ZP1_A1D9Y_A702,130.522,125.386,133.602,0,1
PosIonizable,8ZP2_A1LX4_A701,130.018,125.526,133.951,0,1
PosIonizable,9JEL_A1EBN_A701,129.083,127.403,130.99,0,1
PosIonizable,9JF3_A1EBO_A701,129.189,125.993,130.708,0,1
PosIonizable,9KDH_A1D5S_B709,129.747,124.373,130.123,0,1
PosIonizable,9KDH_A1D5S_B709,129.231,126.232,131.68,0,1
PosIonizable,9KE3_A1EFR_B707,128.855,125.667,131.433,0,1
PosIonizable,9KE3_A1EFR_B707,129.901,128.357,131.138,0,1
Aromatic,4M48_21B_A704,128.912,131.92,134.527,0,1
Aromatic,4M48_21B_A704,131.348,131.418,130.247,0,1
Aromatic,4XNX_41X_A707,131.481,131.167,130.053,0,1
Aromatic,4XNX_41X_A707,130.775,130.96,134.711,0,1
Aromatic,4XP4_COC_A706,131.492,131.719,129.613,0,1
Aromatic,4XPF_42F_A703,131.58,130.687,130.376,0,1
Aromatic,4XPG_42L_A701,130.526,130.116,131.085,0,1
Aromatic,6M38_29E_A601,130.393,131.06,135.413,0,1
Aromatic,6M38_29E_A601,129.475,131.071,130.869,0,1
Aromatic,6M38_29E_A601,131.678,131.312,129.875,0,1
Aromatic,6M3Z_F0F_A701,130.664,131.099,135.685,0,1
Aromatic,6M47_F1U_A608,130.193,130.376,131.976,0,1
Aromatic,8HFI_DSM_A701,128.154,127.098,130.186,0,1
Aromatic,8HFI_DSM_A701,130.724,131.055,129.705,0,1
Aromatic,8HFL_1XR_A701,130.508,131.084,129.977,0,1
Aromatic,8I3V_68P_A701,125.689,122.009,128.963,1,0
Aromatic,8I3V_68P_A701,130.412,122.21,129.211,1,0
Aromatic,8WTX_Y60_A701,130.113,130.619,130.272,0,1
Aromatic,8WTY_XEF_A701,129.131,130.458,130.75,0,1
Aromatic,8WTY_XEF_A701,125.83,121.292,130.066,1,0
Aromatic,8WTY_XEF_A701,131.132,130.962,129.507,0,1
Aromatic,8XB2_YNT_A702,129.957,130.959,129.878,0,1
Aromatic,8Y8Z_A1LX3_E701,128.535,131.653,133.275,0,1
Aromatic,8Y8Z_A1LX3_E701,131.571,131.455,129.601,0,1
Aromatic,8Y90_A1LX6_A701,130.263,130.265,135.648,0,1
Aromatic,8Y90_A1LX6_A701,130.196,130.925,130.888,0,1
Aromatic,8Y91_A1LX5_D703,131.028,130.393,136.134,0,1
Aromatic,8Y91_A1LX5_D703,131.033,130.428,131.363,0,1
Aromatic,8Y93_TP0_A701,128.685,131.724,133.861,0,1
Aromatic,8Y93_TP0_A701,131.49,131.653,129.592,0,1
Aromatic,8YR2_41U_B701,130.733,131.323,134.928,0,1
Aromatic,8YR2_41U_B701,131.059,131.424,129.976,0,1
Aromatic,8ZP1_A1D9Y_A702,131.202,131.168,130.068,0,1
Aromatic,8ZP1_A1D9Y_A702,130.546,131.363,134.664,0,1
Aromatic,8ZP2_A1LX4_A701,130.786,131.427,134.873,0,1
Aromatic,8ZP2_A1LX4_A701,131.195,131.106,130.135,0,1
Aromatic,9JEL_A1EBN_A701,128.971,127.725,132.11,0,1
Aromatic,9JEL_A1EBN_A701,130.511,130.92,129.808,0,1
Aromatic,9JF3_A1EBO_A701,128.477,124.898,131.121,1,0
Aromatic,9JF3_A1EBO_A701,126.988,123.036,130.611,1,0
Aromatic,9JF3_A1EBO_A701,130.339,131.002,130.014,0,1
Aromatic,9KDH_A1D5S_B709,130.625,131.22,129.814,0,1
Aromatic,9KDH_A1D5S_B709,127.181,124.028,124.235,2,0
Aromatic,9KDH_A1D5S_B709,128.66,119.72,125.858,2,0
Aromatic,9KE3_A1EFR_B707,131.038,131.212,129.292,0,1
Aromatic,9KE3_A1EFR_B707,124.941,119.829,129.815,1,0
Acceptor,4XNX_41X_A707,128.861,130.697,130.809,0,0
Acceptor,4XNX_41X_A707,130.938,128.981,131.662,0,0
Acceptor,4XNX_41X_A707,129.092,127.419,134.43,0,0
Acceptor,4XP4_COC_A706,130.561,130.97,134.934,0,0
Acceptor,4XP4_COC_A706,132.031,129.195,135.045,0,0
Acceptor,4XP4_COC_A706,130.888,129.056,132.279,0,0
Acceptor,4XP4_COC_A706,128.907,130.122,131.629,0,0
Acceptor,4XPF_42F_A703,132.909,129.162,133.719,0,0
Acceptor,4XPF_42F_A703,132.034,131.088,134.59,0,0
Acceptor,4XPG_42L_A701,130.958,132.033,129.184,0,0
Acceptor,4XPG_42L_A701,130.628,131.021,135.416,0,0
Acceptor,4XPG_42L_A701,132.075,129.407,134.684,0,0
Acceptor,6M38_29E_A601,130.653,129.093,132.417,0,0
Acceptor,6M3Z_F0F_A701,128.296,129.774,132.57,0,0
Acceptor,6M47_F1U_A608,127.862,131.511,131.152,0,0
