family,ligand_id,x,y,z,cluster,kept
Donor,Z1262591397,-1.197,-2.135,-0.893,1,1
Donor,Z1262591397,4.369,0.904,-0.852,0,1
Donor,FCG2447674341,4.146,1.151,-0.697,0,1
Donor,Z3324923673,4.165,1.165,-0.71,0,1
Donor,Z295456854,-1.662,-2.399,-0.605,1,1
Donor,Z295456854,4.449,0.972,-0.845,0,1
Donor,Z2301287926,-1.204,-2.15,-1.045,1,1
Donor,Z2301287926,4.375,0.883,-0.864,0,1
Donor,Z2301287926,4.882,-1.745,-0.181,0,1
Donor,Z56836691,-1.039,-2.235,-0.81,1,1
Donor,Z56836691,3.958,1.119,-0.69,0,1
Donor,OSSL_962902,-1.04,-2.232,-0.812,1,1
Donor,OSSL_962902,3.958,1.12,-0.69,0,1
Donor,STL377784,-1.04,-2.232,-0.812,1,1
Donor,STL377784,3.958,1.12,-0.69,0,1
Donor,STK618645,4.149,0.919,-0.708,0,1
Donor,STK618645,3.945,-2.265,0.437,0,1
Donor,STK618645,-1.291,-2.318,-1.352,1,1
Donor,Z1815149210,4.05,1.098,-0.706,0,1
Donor,OSSL_882694,4.149,0.919,-0.708,0,1
Donor,OSSL_882694,3.945,-2.265,0.437,0,1
Donor,OSSL_882694,-1.291,-2.318,-1.352,1,1
Donor,FCG2447641612,4.203,1.136,-0.688,0,1
Donor,Z2752645466,4.012,1.211,-0.738,0,1
Donor,Z4119887033,4.064,1.087,-0.708,0,1
Donor,Z955123630,0.724,-0.25,-0.832,1,1
Donor,Z955123630,-1.125,0.4,0.686,1,1
Donor,Z955123630,-1.071,-2.219,-0.844,1,1
Donor,Z955123630,2.19,-1.094,-4.505,0,1
Donor,Z955123630,3.949,1.144,-0.693,0,1
Donor,Z955123630,-1.066,-2.228,-0.838,1,1
Donor,Z955123630,2.201,-1.116,-4.497,0,1
Donor,Z955123630,3.94,1.153,-0.693,0,1
Donor,FCG928091505,-1.541,-1.454,-1.775,1,1
Donor,FCG928091505,3.795,1.344,-0.93,0,1
Donor,Z1259339888,4.325,1.417,-1.234,0,1
Donor,Z1259339888,-1.659,-2.3,-0.807,1,1
Donor,Z3071621361,-1.775,0.484,-0.898,1,1
Donor,Z3071621361,0.529,0.529,0.013,1,1
