family,ligand_id,x,y,z,cluster,kept
Donor,OSSM_156250,-0.435,-1.522,-0.453,0,0
Donor,OSSM_156250,-0.764,-1.539,3.089,1,0
Donor,OSSM_156250,-4.241,-2.085,2.08,1,0
Donor,STK683429,-0.319,-1.005,2.779,1,0
Donor,G747-0390,-0.199,-1.742,-1.192,0,0
Donor,8015-7084,0.613,-4.103,-2.521,0,0
Donor,STK634764,-1.161,-2.112,-1.609,0,0
Donor,Z8979036846,-3.173,-1.017,3.8,1,0
Donor,Z8979036846,-4.848,-2.367,2.407,1,0
Donor,Z358287958,-1.489,-2.048,3.235,1,0
Donor,Z358287958,-3.754,-2.374,2.962,1,0
Donor,C151-0041,-1.09,-0.7,-0.179,0,0
Donor,C151-0041,-1.381,-2.884,1.752,1,0
Donor,8018-7726,-5.112,1.376,0.612,1,0
Donor,STK759784,-0.375,-2.127,3.119,1,0
Donor,STK759784,0.996,-2.265,-0.84,0,0
Donor,8015-7085,-0.319,-1.005,2.779,1,0
Donor,OSSM_274094,-0.862,-1.902,-1.349,0,0
Donor,STK626581,-1.167,-2.053,-1.629,0,0
Donor,G747-0001,-3.483,-2.176,2.546,1,0
Donor,STL001747,-0.511,-2.528,4.223,1,0
Donor,STK535467,-0.435,-1.522,-0.453,0,0
Donor,STK535467,-0.764,-1.539,3.089,1,0
Donor,STK535467,-4.241,-2.085,2.08,1,0
Donor,STL599938,-0.563,-1.606,-0.496,0,0
Donor,STL599938,-0.779,-1.538,3.058,1,0
Donor,STL599938,-4.294,-2.045,2.17,1,0
Donor,G747-0544,-0.925,-1.595,-1.07,0,0
Donor,G747-0043,4.311,-9.936,0.13,3,0
Donor,G747-0043,-0.277,-4.833,0.647,0,0
Donor,STK618230,-3.493,-2.628,1.564,1,0
Donor,G747-0004,-5.013,-0.531,9.307,2,0
Donor,G747-0004,-3.482,-2.181,2.552,1,0
Donor,G747-0011,-3.557,-2.769,2.219,1,0
Donor,Z4984251678,-0.554,-2.322,3.419,1,0
Donor,Z4984251678,0.479,-2.28,2.547,1,0
Donor,OSSM_141283,-0.511,-2.528,4.223,1,0
Donor,OSSM_038313,-1.41,-1.251,-1.394,0,0
Donor,STK775802,0.613,-4.103,-2.521,0,0
Donor,STK537793,-1.349,-1.065,-1.342,0,0
Donor,STK537793,-0.717,-2.185,2.068,1,0
Donor,OSSL_614035,-4.035,-1.657,1.897,1,0
Donor,OSSL_614035,-0.607,2.991,2.626,1,0
Donor,OSSM_147405,-4.088,-1.646,1.944,1,0
Donor,OSSM_147405,-0.634,2.929,2.663,1,0
Donor,OSSM_170358,-3.493,-2.628,1.564,1,0
Donor,STK618463,-1.146,-2.096,-1.614,0,0
Donor,G747-0519,-0.609,-1.272,-1.168,0,0
Donor,OSSM_122961,-1.066,-1.813,-1.358,0,0
Donor,OSSM_122961,2.002,-1.191,2.87,1,0
Donor,STL603381,-3.826,-3.182,1.596,1,0
Donor,STL603381,-1.036,-1.151,0.254,0,0
Donor,G747-0063,-3.855,-2.852,2.036,1,0
Donor,OSSL_649322,0.613,-4.103,-2.521,0,0
